raw,pref_uri
sensor,http://w3id.org/gbo/sensor
sensors,http://w3id.org/gbo/sensor
temperature_sensor,http://w3id.org/gbo#hardware_element
pressure_sensor,http://w3id.org/gbo#hardware_element
proximity_sensor,http://w3id.org/gbo#hardware_element
speed_sensor,http://w3id.org/gbo#hardware_element
position_sensor,http://w3id.org/gbo#hardware_element
flow_sensor,http://w3id.org/gbo#hardware_element
level_sensor,http://w3id.org/gbo#hardware_element
current_sensor,http://w3id.org/gbo#hardware_element
voltage_sensor,http://w3id.org/gbo#hardware_element
actuator,http://w3id.org/gbo/actuator
actuators,http://w3id.org/gbo/actuator
motor,http://w3id.org/gbo#hardware_element
motors,http://w3id.org/gbo#hardware_element
valve,http://w3id.org/gbo#hardware_element
pump,http://w3id.org/gbo#hardware_element
relay,http://w3id.org/gbo#hardware_element
solenoid,http://w3id.org/gbo#hardware_element
controller,http://w3id.org/gbo/controller
controllers,http://w3id.org/gbo/controller
ecu,http://w3id.org/gbo/electronic_control_unit
dcu,http://w3id.org/gbo/electronic_control_unit
system,http://w3id.org/gbo#system
systems,http://w3id.org/gbo#system
unit,http://w3id.org/gbo#hardware_component
temperature,http://w3id.org/gbo#property
signals,http://w3id.org/gbo#property
signal,http://w3id.org/gbo#property
domain,http://w3id.org/gbo#context
application,http://w3id.org/gbo#function
powertrain,http://w3id.org/gbo#system
industry,http://w3id.org/gbo#context
outlook,http://w3id.org/gbo#context
technology,http://w3id.org/gbo#element
expansion,http://w3id.org/gbo#function
component,http://w3id.org/gbo#component
components,http://w3id.org/gbo#component
battery,http://w3id.org/gbo#hardware_element
batteries,http://w3id.org/gbo#hardware_element
voltage,http://w3id.org/gbo#property
current,http://w3id.org/gbo#property
pressure,http://w3id.org/gbo#property
speed,http://w3id.org/gbo#property
software,http://w3id.org/gbo#software_element
embedded_software,http://w3id.org/gbo/embedded_software
hardware,http://w3id.org/gbo#hardware_element
radar,http://w3id.org/gbo/radar
lidar,http://w3id.org/gbo/lidar
camera,http://w3id.org/gbo/camera
function,http://w3id.org/gbo#function
functions,http://w3id.org/gbo#function
requirement,http://w3id.org/gbo/requirement
requirements,http://w3id.org/gbo/requirement
performance,http://w3id.org/gbo/performance
vehicle,http://w3id.org/gbo#engineered_object
network,http://w3id.org/gbo#system
bus,http://w3id.org/gbo#hardware_component
data,http://w3id.org/gbo#property
output,http://w3id.org/gbo#function
input,http://w3id.org/gbo#dependency
power,http://w3id.org/gbo#property
energy,http://w3id.org/gbo#property
information,http://w3id.org/gbo#property
knowledge,http://w3id.org/gbo#property
advancements,http://w3id.org/gbo#function
statistics,http://w3id.org/gbo#property
products,http://w3id.org/gbo#component
modules,http://w3id.org/gbo#component
brake,http://w3id.org/gbo#hardware_element
vehicle,http://w3id.org/gbo#engineered_object
steering,http://w3id.org/gbo#hardware_element
feedback,http://w3id.org/gbo#property
power,http://w3id.org/gbo#property
can_bus,http://w3id.org/gbo#hardware_component
wiring,http://w3id.org/gbo#hardware_component
can_bus,http://w3id.org/gbo#hardware_component
lin_bus,http://w3id.org/gbo#hardware_component
flexray,http://w3id.org/gbo#hardware_component
sensor_measurements,http://w3id.org/gbo#property
position,http://w3id.org/gbo#property
proximity,http://w3id.org/gbo#property
ecu_management,http://w3id.org/gbo#function
frequency,http://w3id.org/gbo#property
resistance,http://w3id.org/gbo#property
capacitance,http://w3id.org/gbo#property
inductance,http://w3id.org/gbo#property
torque,http://w3id.org/gbo#property
acceleration,http://w3id.org/gbo#property
displacement,http://w3id.org/gbo#property
efficiency,http://w3id.org/gbo#property
load,http://w3id.org/gbo#property
circuit,http://cpsagila.cs.uni-kl.de/GENIALOnt#_circuit
diode,http://cpsagila.cs.uni-kl.de/GENIALOnt#_diode
transistor,http://w3id.org/gbo#hardware_element
capacitor,http://w3id.org/gbo#hardware_element
resistor,http://w3id.org/gbo#hardware_element
inductor,http://cpsagila.cs.uni-kl.de/GENIALOnt#_inductor
converter,http://w3id.org/gbo#hardware_element
inverter,http://w3id.org/gbo#hardware_element
transformer,http://w3id.org/gbo#hardware_element
alternator,http://cpsagila.cs.uni-kl.de/GENIALOnt#_alternator
generator,http://w3id.org/gbo#hardware_element
regulator,http://w3id.org/gbo#hardware_element
amplifier,http://w3id.org/gbo#hardware_element
microcontroller,http://w3id.org/gbo/electronic_control_unit
processor,http://w3id.org/gbo#hardware_element
chip,http://w3id.org/gbo#hardware_element
connector,http://w3id.org/gbo#hardware_component
cable,http://w3id.org/gbo#hardware_component
wire,http://w3id.org/gbo#hardware_component
fuse,http://w3id.org/gbo#hardware_element
switch,http://w3id.org/gbo#hardware_element
display,http://w3id.org/gbo#hardware_element
antenna,http://w3id.org/gbo#hardware_element
pcb,http://w3id.org/gbo#hardware_component
engine,http://cpsagila.cs.uni-kl.de/GENIALOnt#_engine
solar_panel,http://cpsagila.cs.uni-kl.de/GENIALOnt#_solar_panel
charger,http://w3id.org/gbo#hardware_element
measurement,http://w3id.org/gbo#property
control,http://w3id.org/gbo#function
monitoring,http://w3id.org/gbo#function
protection,http://w3id.org/gbo#function
communication,http://w3id.org/gbo#function
interface,http://cpsagila.cs.uni-kl.de/GENIALOnt#_interface
protocol,http://w3id.org/gbo#function
device,http://cpsagila.cs.uni-kl.de/GENIALOnt#_electrical_device
subsystem,http://w3id.org/gbo#system
