raw,pref_uri
measures,http://w3id.org/gbo#has_property
manages,http://w3id.org/gbo#has_part
controls,http://w3id.org/gbo#executes
includes,http://w3id.org/gbo#comprised_of
has,http://w3id.org/gbo#has_part
monitors,http://w3id.org/gbo#has_property
converts,http://w3id.org/gbo#executes
regulates,http://w3id.org/gbo#depends_on
detects,http://w3id.org/gbo#has_property
processes,http://w3id.org/gbo#executes
transmits,http://w3id.org/gbo#executes
receives,http://w3id.org/gbo#depends_on
contains,http://w3id.org/gbo#comprised_of
consists_of,http://w3id.org/gbo#comprised_of
part_of,http://w3id.org/gbo#part_of
has_part,http://w3id.org/gbo#has_part
implements,http://w3id.org/gbo#implements
depends_on,http://w3id.org/gbo#depends_on
executes,http://w3id.org/gbo#executes
shown,http://w3id.org/gbo#has_property
introduced,http://w3id.org/gbo#executes
connects,http://w3id.org/gbo#has_part_directly
drives,http://w3id.org/gbo#executes
activates,http://w3id.org/gbo#executes
supplies,http://w3id.org/gbo#has_part
generates,http://w3id.org/gbo#executes
reads,http://w3id.org/gbo#has_property
outputs,http://w3id.org/gbo#executes
inputs,http://w3id.org/gbo#depends_on
communicates,http://w3id.org/gbo#executes
measure,http://w3id.org/gbo#has_property
control,http://w3id.org/gbo#executes
manage,http://w3id.org/gbo#has_part
drive,http://w3id.org/gbo#executes
activate,http://w3id.org/gbo#executes
transmit,http://w3id.org/gbo#executes
process,http://w3id.org/gbo#executes
connect,http://w3id.org/gbo#has_part_directly
govern,http://w3id.org/gbo#has_part
steer,http://w3id.org/gbo#executes
analyzes,http://w3id.org/gbo#executes
provides,http://w3id.org/gbo#has_part
integrates,http://w3id.org/gbo#comprised_of
introduces,http://w3id.org/gbo#executes
reports,http://w3id.org/gbo#has_property
uses,http://w3id.org/gbo#has_part
involves,http://w3id.org/gbo#comprised_of
delivers,http://w3id.org/gbo#executes
powers,http://w3id.org/gbo#executes
